Index,LowerBound,UpperBound,mcmean,truemean
+184,+2.89088e+00,+3.17986e+00,+3.03537e+00,+3.00000e+00
+185,+2.89695e+00,+3.18514e+00,+3.04105e+00,+3.00000e+00
+186,+2.89113e+00,+3.17856e+00,+3.03485e+00,+3.00000e+00
+187,+2.89081e+00,+3.17746e+00,+3.03413e+00,+3.00000e+00
+188,+2.88425e+00,+3.17014e+00,+3.02720e+00,+3.00000e+00
+189,+2.89045e+00,+3.17558e+00,+3.03301e+00,+3.00000e+00
+190,+2.88585e+00,+3.17023e+00,+3.02804e+00,+3.00000e+00
+191,+2.88796e+00,+3.17159e+00,+3.02977e+00,+3.00000e+00
+192,+2.88860e+00,+3.17149e+00,+3.03004e+00,+3.00000e+00
+193,+2.88630e+00,+3.16846e+00,+3.02738e+00,+3.00000e+00
+194,+2.90212e+00,+3.18356e+00,+3.04284e+00,+3.00000e+00
+195,+2.90087e+00,+3.18159e+00,+3.04123e+00,+3.00000e+00
+196,+2.89419e+00,+3.17418e+00,+3.03419e+00,+3.00000e+00
+197,+2.88152e+00,+3.16081e+00,+3.02117e+00,+3.00000e+00
+198,+2.88168e+00,+3.16026e+00,+3.02097e+00,+3.00000e+00
+199,+2.88145e+00,+3.15932e+00,+3.02038e+00,+3.00000e+00
+200,+2.87668e+00,+3.15386e+00,+3.01527e+00,+3.00000e+00
+201,+2.88136e+00,+3.15785e+00,+3.01961e+00,+3.00000e+00
+202,+2.87807e+00,+3.15388e+00,+3.01597e+00,+3.00000e+00
+203,+2.88419e+00,+3.15932e+00,+3.02176e+00,+3.00000e+00
+204,+2.88545e+00,+3.15990e+00,+3.02268e+00,+3.00000e+00
+205,+2.88369e+00,+3.15747e+00,+3.02058e+00,+3.00000e+00
+206,+2.87167e+00,+3.14478e+00,+3.00822e+00,+3.00000e+00
+207,+2.87511e+00,+3.14757e+00,+3.01134e+00,+3.00000e+00
+208,+2.87655e+00,+3.14835e+00,+3.01245e+00,+3.00000e+00
+209,+2.87425e+00,+3.14539e+00,+3.00982e+00,+3.00000e+00
+210,+2.87447e+00,+3.14497e+00,+3.00972e+00,+3.00000e+00
+211,+2.87263e+00,+3.14249e+00,+3.00756e+00,+3.00000e+00
+212,+2.87141e+00,+3.14063e+00,+3.00602e+00,+3.00000e+00
+213,+2.87605e+00,+3.14464e+00,+3.01035e+00,+3.00000e+00
+214,+2.88175e+00,+3.14971e+00,+3.01573e+00,+3.00000e+00
+215,+2.88140e+00,+3.14874e+00,+3.01507e+00,+3.00000e+00
+216,+2.88579e+00,+3.15251e+00,+3.01915e+00,+3.00000e+00
+217,+2.88077e+00,+3.14688e+00,+3.01383e+00,+3.00000e+00
